			Lead Left	Lead Right
-------------------------------------------
DIPS
62.	 116.9 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
63.	 116.4 	 C3 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
64.	 116.4 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
65.	 116.0 	 C2 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 0.69) 
66.	 115.7 	 C2 - 4.5 mA	 C1 - 1.5 mA 	 (1.00 / 0.74) 
67.	 115.6 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
68.	 115.5 	 C2 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
69.	 115.3 	 C3 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
70.	 115.2 	 C2 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
71.	 115.0 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
72.	 114.9 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
73.	 114.9 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (0.99 / 0.74) 
74.	 114.8 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
75.	 114.4 	 C3 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
76.	 114.4 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (0.96 / 0.30) 
77.	 114.1 	 C2 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
78.	 113.5 	 C3 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
79.	 113.4 	 C2 - 5.5 mA	 C1 - 2.0 mA 	 (0.99 / 0.69) 
80.	 113.3 	 C2 - 5.0 mA	 C1 - 2.5 mA 	 (1.00 / 0.67) 
81.	 113.3 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
