			3387-Left	3387-Right
-------------------------------------------
DIPS
62.	 79.8 	 C0 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
63.	 79.8 	 C0 - 4.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
64.	 79.6 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (0.02 / 1.00) 
65.	 79.5 	 C3 - 4.5 mA	 C0 - 4.5 mA 	 (0.09 / 1.00) 
66.	 79.4 	 C0 - 1.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
67.	 79.4 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (0.02 / 1.00) 
68.	 79.4 	 C3 - 5.5 mA	 C0 - 5.5 mA 	 (0.11 / 1.00) 
69.	 79.4 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (0.02 / 1.00) 
70.	 79.4 	 C3 - 1.5 mA	 C0 - 3.5 mA 	 (0.00 / 1.00) 
71.	 79.3 	 C0 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
72.	 79.3 	 C3 - 1.5 mA	 C0 - 4.0 mA 	 (0.00 / 1.00) 
73.	 79.3 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (0.02 / 1.00) 
74.	 79.2 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (0.00 / 1.00) 
75.	 79.2 	 C0 - 1.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
76.	 79.2 	 C0 - 3.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
77.	 79.2 	 C0 - 3.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
78.	 79.1 	 C3 - 1.5 mA	 C0 - 3.0 mA 	 (0.00 / 1.00) 
79.	 78.8 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
80.	 78.8 	 C0 - 3.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
81.	 78.8 	 C0 - 1.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
82.	 78.7 	 C1 - 1.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
83.	 78.6 	 C0 - 1.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
84.	 78.6 	 C0 - 4.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
85.	 78.5 	 C0 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
86.	 78.5 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.09 / 1.00) 
87.	 78.3 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.10 / 1.00) 
88.	 78.3 	 C0 - 3.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
89.	 78.3 	 C0 - 2.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
90.	 78.3 	 C0 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.80) 
91.	 78.2 	 C0 - 2.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
92.	 78.1 	 C0 - 1.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
93.	 78.1 	 C2 - 1.5 mA	 C0 - 4.0 mA 	 (0.55 / 1.00) 
94.	 78.1 	 C0 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
95.	 78.1 	 C0 - 2.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
96.	 78.0 	 C0 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
97.	 78.0 	 C0 - 1.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
98.	 78.0 	 C1 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
99.	 78.0 	 C0 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
100.	 77.9 	 C0 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
101.	 77.9 	 C0 - 3.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
102.	 77.8 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
103.	 77.7 	 C0 - 2.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
104.	 77.6 	 C0 - 4.5 mA	 C3 - 5.0 mA 	 (0.99 / 0.59) 
105.	 77.6 	 C0 - 4.5 mA	 C3 - 5.5 mA 	 (0.99 / 0.58) 
106.	 77.6 	 C3 - 4.0 mA	 C0 - 3.5 mA 	 (0.09 / 1.00) 
107.	 77.5 	 C0 - 2.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
108.	 77.5 	 C3 - 3.5 mA	 C1 - 5.0 mA 	 (0.07 / 1.00) 
109.	 77.4 	 C0 - 3.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
110.	 77.4 	 C0 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
111.	 77.4 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (0.53 / 1.00) 
112.	 77.3 	 C0 - 2.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
113.	 77.3 	 C0 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
114.	 77.2 	 C0 - 3.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
115.	 77.1 	 C3 - 4.5 mA	 C0 - 4.0 mA 	 (0.09 / 1.00) 
116.	 77.0 	 C0 - 2.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
117.	 77.0 	 C0 - 4.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
118.	 77.0 	 C0 - 1.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
119.	 77.0 	 C0 - 1.5 mA	 C2 - 4.0 mA 	 (1.00 / 0.99) 
120.	 76.9 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (0.09 / 1.00) 
121.	 76.9 	 C0 - 3.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
122.	 76.9 	 C0 - 1.5 mA	 C3 - 2.0 mA 	 (1.00 / 0.73) 
123.	 76.9 	 C0 - 3.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
124.	 76.9 	 C1 - 1.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
125.	 76.8 	 C0 - 3.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
126.	 76.8 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (0.52 / 1.00) 
127.	 76.8 	 C0 - 2.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
128.	 76.7 	 C3 - 4.0 mA	 C1 - 5.5 mA 	 (0.09 / 1.00) 
129.	 76.7 	 C2 - 1.5 mA	 C0 - 3.5 mA 	 (0.55 / 1.00) 
130.	 76.5 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.09 / 1.00) 
131.	 76.5 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
132.	 76.5 	 C0 - 1.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.70) 
133.	 76.4 	 C3 - 5.5 mA	 C0 - 5.0 mA 	 (0.11 / 1.00) 
134.	 76.4 	 C0 - 2.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
135.	 76.4 	 C0 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
136.	 76.3 	 C0 - 4.5 mA	 C3 - 4.5 mA 	 (0.99 / 0.61) 
137.	 76.3 	 C0 - 2.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
138.	 76.1 	 C1 - 1.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
139.	 76.1 	 C3 - 1.5 mA	 C2 - 2.5 mA 	 (0.00 / 1.00) 
140.	 76.1 	 C1 - 1.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
141.	 76.0 	 C0 - 3.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
142.	 75.9 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
143.	 75.9 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (0.09 / 1.00) 
144.	 75.8 	 C1 - 1.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
145.	 75.8 	 C0 - 4.5 mA	 C3 - 4.0 mA 	 (0.99 / 0.62) 
146.	 75.7 	 C3 - 5.0 mA	 C0 - 4.5 mA 	 (0.10 / 1.00) 
147.	 75.7 	 C3 - 2.0 mA	 C2 - 2.5 mA 	 (0.02 / 1.00) 
148.	 75.6 	 C0 - 2.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
149.	 75.5 	 C0 - 3.5 mA	 C2 - 4.0 mA 	 (1.00 / 0.99) 
150.	 75.5 	 C0 - 3.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
151.	 75.5 	 C1 - 1.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
152.	 75.5 	 C0 - 3.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
153.	 75.4 	 C0 - 1.5 mA	 C2 - 4.5 mA 	 (1.00 / 0.98) 
154.	 75.4 	 C3 - 2.5 mA	 C2 - 2.5 mA 	 (0.03 / 1.00) 
155.	 75.4 	 C0 - 2.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
156.	 75.3 	 C1 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
157.	 75.3 	 C1 - 1.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.62) 
158.	 75.3 	 C3 - 3.0 mA	 C2 - 2.5 mA 	 (0.06 / 1.00) 
159.	 75.1 	 C0 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.80) 
160.	 75.1 	 C0 - 3.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
161.	 75.0 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (0.55 / 1.00) 
162.	 75.0 	 C1 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.59) 
163.	 75.0 	 C0 - 4.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
164.	 74.9 	 C0 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 0.99) 
165.	 74.9 	 C0 - 3.0 mA	 C2 - 4.0 mA 	 (1.00 / 0.99) 
166.	 74.8 	 C1 - 1.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.65) 
167.	 74.8 	 C3 - 4.5 mA	 C1 - 5.5 mA 	 (0.09 / 1.00) 
168.	 74.8 	 C1 - 2.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.58) 
169.	 74.7 	 C0 - 3.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.70) 
170.	 74.7 	 C0 - 4.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
171.	 74.7 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
172.	 74.7 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
173.	 74.7 	 C0 - 2.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.68) 
174.	 74.7 	 C0 - 1.5 mA	 C2 - 5.0 mA 	 (1.00 / 0.96) 
175.	 74.6 	 C0 - 4.5 mA	 C3 - 3.5 mA 	 (0.99 / 0.65) 
176.	 74.5 	 C0 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 0.73) 
177.	 74.5 	 C3 - 1.5 mA	 C3 - 5.0 mA 	 (0.00 / 0.59) 
178.	 74.5 	 C0 - 2.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.70) 
179.	 74.5 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
180.	 74.5 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (0.09 / 1.00) 
181.	 74.4 	 C3 - 1.5 mA	 C2 - 2.0 mA 	 (0.00 / 1.00) 
182.	 74.4 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (0.55 / 1.00) 
183.	 74.4 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (0.53 / 1.00) 
184.	 74.4 	 C0 - 2.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
185.	 74.4 	 C2 - 1.5 mA	 C1 - 5.5 mA 	 (0.55 / 1.00) 
186.	 74.4 	 C3 - 3.5 mA	 C2 - 2.5 mA 	 (0.07 / 1.00) 
187.	 74.3 	 C3 - 2.0 mA	 C3 - 5.0 mA 	 (0.02 / 0.59) 
188.	 74.3 	 C1 - 2.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.61) 
189.	 74.3 	 C1 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.80) 
190.	 74.3 	 C3 - 1.5 mA	 C3 - 5.5 mA 	 (0.00 / 0.58) 
191.	 74.3 	 C0 - 3.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.70) 
192.	 74.3 	 C0 - 3.5 mA	 C2 - 4.5 mA 	 (1.00 / 0.98) 
193.	 74.3 	 C0 - 3.5 mA	 C3 - 2.0 mA 	 (1.00 / 0.73) 
194.	 74.2 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (0.09 / 1.00) 
