			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 61.5 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.74) 
no DIPSalt.settings found
-------------------------------------------
63.	 72.2 	 C3 - 5.5 mA	 C3 - 4.0 mA 	 (0.20 / 0.55) 
64.	 72.0 	 C3 - 5.5 mA	 C1 - 1.5 mA 	 (0.20 / 0.94) 
65.	 71.8 	 C3 - 5.5 mA	 C3 - 1.5 mA 	 (0.20 / 0.61) 
66.	 71.6 	 C3 - 3.5 mA	 C3 - 1.5 mA 	 (0.17 / 0.61) 
67.	 71.3 	 C3 - 4.5 mA	 C2 - 1.5 mA 	 (0.18 / 0.82) 
68.	 71.3 	 C3 - 4.5 mA	 C3 - 4.5 mA 	 (0.18 / 0.54) 
69.	 71.3 	 C3 - 5.5 mA	 C3 - 2.0 mA 	 (0.20 / 0.59) 
70.	 71.1 	 C3 - 5.0 mA	 C3 - 4.0 mA 	 (0.20 / 0.55) 
71.	 70.9 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (0.38 / 0.77) 
72.	 70.9 	 C3 - 3.0 mA	 C3 - 3.5 mA 	 (0.16 / 0.56) 
73.	 70.8 	 C3 - 3.5 mA	 C3 - 2.0 mA 	 (0.17 / 0.59) 
74.	 70.7 	 C3 - 4.0 mA	 C3 - 4.5 mA 	 (0.18 / 0.54) 
75.	 70.6 	 C2 - 5.5 mA	 C0 - 4.0 mA 	 (0.38 / 0.79) 
76.	 70.6 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.16 / 0.75) 
77.	 70.5 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (0.38 / 0.77) 
78.	 70.4 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.15 / 0.74) 
79.	 70.4 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.18 / 0.79) 
80.	 70.2 	 C3 - 3.0 mA	 C3 - 3.0 mA 	 (0.16 / 0.56) 
81.	 70.2 	 C3 - 5.0 mA	 C3 - 1.5 mA 	 (0.20 / 0.61) 
82.	 70.1 	 C3 - 5.0 mA	 C0 - 4.0 mA 	 (0.20 / 0.79) 
83.	 70.0 	 C2 - 2.0 mA	 C0 - 5.5 mA 	 (0.41 / 0.74) 
84.	 70.0 	 C3 - 4.0 mA	 C1 - 2.0 mA 	 (0.18 / 0.89) 
85.	 69.9 	 C3 - 4.0 mA	 C2 - 1.5 mA 	 (0.18 / 0.82) 
86.	 69.8 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (0.38 / 0.79) 
87.	 69.7 	 C3 - 5.0 mA	 C3 - 2.0 mA 	 (0.20 / 0.59) 
88.	 69.5 	 C3 - 3.0 mA	 C3 - 2.5 mA 	 (0.16 / 0.57) 
89.	 69.4 	 C3 - 3.5 mA	 C1 - 1.5 mA 	 (0.17 / 0.94) 
90.	 69.4 	 C3 - 5.0 mA	 C1 - 1.5 mA 	 (0.20 / 0.94) 
91.	 69.3 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (0.40 / 0.75) 
92.	 69.3 	 C3 - 5.5 mA	 C3 - 4.5 mA 	 (0.20 / 0.54) 
93.	 69.1 	 C3 - 5.5 mA	 C0 - 3.5 mA 	 (0.20 / 0.81) 
94.	 69.1 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.17 / 0.77) 
95.	 69.1 	 C2 - 3.5 mA	 C3 - 3.5 mA 	 (0.38 / 0.56) 
96.	 69.0 	 C2 - 4.0 mA	 C3 - 3.5 mA 	 (0.38 / 0.56) 
97.	 69.0 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (0.18 / 0.81) 
98.	 69.0 	 C3 - 3.0 mA	 C3 - 4.0 mA 	 (0.16 / 0.55) 
99.	 69.0 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (0.38 / 0.77) 
100.	 68.9 	 C3 - 5.5 mA	 C1 - 2.0 mA 	 (0.20 / 0.89) 
101.	 68.8 	 C2 - 3.0 mA	 C3 - 3.5 mA 	 (0.39 / 0.56) 
102.	 68.7 	 C3 - 3.5 mA	 C3 - 4.5 mA 	 (0.17 / 0.54) 
103.	 68.5 	 C2 - 5.5 mA	 C3 - 3.5 mA 	 (0.38 / 0.56) 
104.	 68.5 	 C2 - 5.0 mA	 C3 - 3.5 mA 	 (0.38 / 0.56) 
105.	 68.5 	 C2 - 4.5 mA	 C3 - 3.5 mA 	 (0.38 / 0.56) 
106.	 68.4 	 C2 - 4.0 mA	 C3 - 3.0 mA 	 (0.38 / 0.56) 
107.	 68.4 	 C2 - 3.5 mA	 C3 - 3.0 mA 	 (0.38 / 0.56) 
108.	 68.3 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (0.38 / 0.79) 
109.	 68.3 	 C3 - 5.5 mA	 C2 - 1.5 mA 	 (0.20 / 0.82) 
110.	 68.2 	 C3 - 4.5 mA	 C0 - 2.0 mA 	 (0.18 / 0.90) 
111.	 68.1 	 C3 - 5.0 mA	 C3 - 4.5 mA 	 (0.20 / 0.54) 
112.	 68.1 	 C2 - 3.0 mA	 C3 - 3.0 mA 	 (0.39 / 0.56) 
113.	 68.1 	 C2 - 5.5 mA	 C3 - 3.0 mA 	 (0.38 / 0.56) 
114.	 68.0 	 C2 - 5.0 mA	 C3 - 3.0 mA 	 (0.38 / 0.56) 
115.	 68.0 	 C2 - 4.0 mA	 C3 - 4.0 mA 	 (0.38 / 0.55) 
116.	 68.0 	 C2 - 5.5 mA	 C0 - 1.5 mA 	 (0.38 / 0.94) 
117.	 68.0 	 C2 - 3.5 mA	 C3 - 4.0 mA 	 (0.38 / 0.55) 
118.	 67.9 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (0.38 / 0.79) 
119.	 67.9 	 C2 - 4.5 mA	 C3 - 3.0 mA 	 (0.38 / 0.56) 
120.	 67.9 	 C2 - 4.0 mA	 C3 - 2.5 mA 	 (0.38 / 0.57) 
121.	 67.8 	 C2 - 3.5 mA	 C3 - 2.5 mA 	 (0.38 / 0.57) 
