			3387-Left	3387-Right
-------------------------------------------
DIPS
62.	 90.1 	 C0 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
63.	 90.0 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.30 / 0.27) 
64.	 90.0 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (0.99 / 0.27) 
65.	 89.9 	 C0 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
66.	 89.9 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.30 / 0.28) 
67.	 89.9 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.27 / 0.28) 
68.	 89.8 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (0.25 / 0.28) 
69.	 89.8 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (0.99 / 0.28) 
70.	 89.7 	 C3 - 1.5 mA	 C0 - 4.0 mA 	 (0.23 / 0.28) 
71.	 89.7 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
72.	 89.7 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
73.	 89.6 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.98 / 0.25) 
74.	 89.6 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.29 / 0.28) 
75.	 89.6 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.99 / 0.24) 
76.	 89.5 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (0.98 / 0.27) 
77.	 89.4 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
78.	 89.4 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (0.98 / 0.28) 
79.	 89.3 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
80.	 89.3 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (0.30 / 0.28) 
81.	 89.3 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.30 / 0.28) 
82.	 89.3 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (0.23 / 0.23) 
83.	 89.2 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.98 / 0.25) 
84.	 89.2 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (0.25 / 0.28) 
85.	 89.1 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (0.30 / 0.25) 
86.	 89.1 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (0.98 / 0.27) 
87.	 89.1 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
88.	 89.1 	 C0 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
89.	 89.0 	 C0 - 4.0 mA	 C0 - 1.5 mA 	 (1.00 / 0.23) 
90.	 89.0 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.98 / 0.24) 
91.	 89.0 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
92.	 89.0 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (0.98 / 0.28) 
93.	 89.0 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (0.31 / 0.28) 
94.	 88.9 	 C3 - 1.5 mA	 C0 - 4.5 mA 	 (0.23 / 0.28) 
95.	 88.9 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (0.99 / 0.28) 
96.	 88.8 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
97.	 88.7 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
98.	 88.7 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (0.98 / 0.25) 
99.	 88.7 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.30 / 0.28) 
100.	 88.6 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (0.98 / 0.27) 
101.	 88.6 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (0.98 / 0.28) 
102.	 88.6 	 C3 - 4.0 mA	 C0 - 4.5 mA 	 (0.30 / 0.28) 
103.	 88.5 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (0.98 / 0.24) 
104.	 88.5 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
105.	 88.5 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
106.	 88.5 	 C2 - 1.5 mA	 C0 - 3.5 mA 	 (0.98 / 0.28) 
107.	 88.4 	 C0 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
