			3387-Left	3387-Right
-------------------------------------------
DIPS
62.	 91.1 	 C0 - 2.5 mA	 C1 - 4.5 mA 	 (0.84 / 0.99) 
63.	 90.9 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (0.82 / 0.99) 
64.	 90.9 	 C1 - 3.0 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
65.	 90.9 	 C1 - 1.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
66.	 90.8 	 C0 - 2.0 mA	 C1 - 2.0 mA 	 (0.86 / 1.00) 
67.	 90.8 	 C0 - 3.0 mA	 C2 - 5.5 mA 	 (0.82 / 1.00) 
68.	 90.3 	 C1 - 2.5 mA	 C1 - 5.5 mA 	 (0.99 / 0.96) 
69.	 90.3 	 C1 - 3.5 mA	 C1 - 3.5 mA 	 (0.97 / 1.00) 
70.	 90.3 	 C0 - 3.0 mA	 C1 - 3.0 mA 	 (0.82 / 1.00) 
71.	 90.3 	 C2 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
72.	 90.1 	 C1 - 3.5 mA	 C1 - 4.0 mA 	 (0.97 / 0.99) 
73.	 90.1 	 C1 - 3.0 mA	 C1 - 5.0 mA 	 (0.98 / 0.97) 
74.	 89.8 	 C1 - 3.0 mA	 C2 - 5.0 mA 	 (0.98 / 1.00) 
75.	 89.7 	 C0 - 2.0 mA	 C1 - 5.0 mA 	 (0.86 / 0.97) 
76.	 89.6 	 C1 - 1.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
77.	 89.5 	 C1 - 1.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
78.	 89.3 	 C1 - 3.0 mA	 C1 - 5.5 mA 	 (0.98 / 0.96) 
79.	 89.3 	 C0 - 3.0 mA	 C2 - 5.0 mA 	 (0.82 / 1.00) 
80.	 89.3 	 C1 - 1.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
81.	 89.3 	 C2 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 0.99) 
82.	 89.1 	 C1 - 3.0 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
83.	 88.9 	 C0 - 3.0 mA	 C1 - 4.5 mA 	 (0.82 / 0.99) 
