			Lead Left Left_VTA	Lead Right Right_VTA
-------------------------------------------
DIPS
1.	 93.7 	 C1 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
1.	 89.1 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
-------------------------------------------
1.	 93.7 	 C1 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
2.	 90.7 	 C1 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
3.	 89.9 	 C1 - 3.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
4.	 89.1 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
5.	 88.6 	 C0 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
6.	 87.6 	 C0 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
7.	 86.1 	 C3 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
8.	 86.1 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
9.	 83.6 	 C0 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
10.	 83.2 	 C1 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
11.	 82.8 	 C1 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
12.	 81.8 	 C0 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
13.	 81.4 	 C0 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
14.	 81.3 	 C3 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
15.	 81.3 	 C1 - 3.0 mA	 C3 - 2.0 mA 	 (1.00 / 0.96) 
16.	 80.8 	 C0 - 3.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
17.	 80.0 	 C0 - 4.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
18.	 79.7 	 C0 - 5.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
19.	 79.7 	 C1 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
20.	 79.2 	 C3 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
21.	 79.2 	 C3 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
22.	 78.5 	 C1 - 2.5 mA	 C3 - 2.0 mA 	 (1.00 / 0.96) 
23.	 78.2 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
