			Lead Left	Lead Right
-------------------------------------------
DIPS
62.	 82.0 	 C1 - 2.0 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
63.	 82.0 	 C0 - 1.5 mA	 C2 - 2.5 mA 	 (0.73 / 0.95) 
64.	 81.9 	 C0 - 5.0 mA	 C2 - 2.0 mA 	 (0.59 / 0.98) 
65.	 81.9 	 C0 - 2.5 mA	 C3 - 2.0 mA 	 (0.66 / 0.69) 
66.	 81.8 	 C0 - 4.5 mA	 C3 - 2.0 mA 	 (0.60 / 0.69) 
67.	 81.8 	 C0 - 5.5 mA	 C3 - 2.0 mA 	 (0.58 / 0.69) 
68.	 81.8 	 C0 - 3.5 mA	 C3 - 2.0 mA 	 (0.63 / 0.69) 
69.	 81.7 	 C1 - 4.5 mA	 C1 - 1.5 mA 	 (0.89 / 1.00) 
70.	 81.7 	 C0 - 5.0 mA	 C3 - 2.0 mA 	 (0.59 / 0.69) 
71.	 81.7 	 C1 - 4.5 mA	 C3 - 1.5 mA 	 (0.89 / 0.74) 
72.	 81.7 	 C1 - 5.5 mA	 C2 - 2.5 mA 	 (0.85 / 0.95) 
73.	 81.7 	 C1 - 4.0 mA	 C1 - 1.5 mA 	 (0.90 / 1.00) 
74.	 81.6 	 C1 - 4.0 mA	 C3 - 1.5 mA 	 (0.90 / 0.74) 
75.	 81.4 	 C1 - 4.5 mA	 C2 - 1.5 mA 	 (0.89 / 0.99) 
76.	 81.4 	 C0 - 2.5 mA	 C2 - 2.5 mA 	 (0.66 / 0.95) 
77.	 81.4 	 C1 - 5.0 mA	 C2 - 2.5 mA 	 (0.87 / 0.95) 
78.	 81.4 	 C0 - 4.0 mA	 C2 - 2.5 mA 	 (0.61 / 0.95) 
79.	 81.4 	 C1 - 4.0 mA	 C2 - 1.5 mA 	 (0.90 / 0.99) 
80.	 81.4 	 C1 - 2.0 mA	 C2 - 1.5 mA 	 (0.98 / 0.99) 
81.	 81.4 	 C0 - 3.0 mA	 C3 - 2.0 mA 	 (0.64 / 0.69) 
82.	 81.2 	 C0 - 3.5 mA	 C2 - 2.5 mA 	 (0.63 / 0.95) 
83.	 81.2 	 C0 - 4.5 mA	 C2 - 2.5 mA 	 (0.60 / 0.95) 
84.	 81.2 	 C1 - 2.5 mA	 C1 - 1.5 mA 	 (0.97 / 1.00) 
85.	 81.2 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.89 / 1.00) 
86.	 81.1 	 C0 - 5.5 mA	 C2 - 2.5 mA 	 (0.58 / 0.95) 
87.	 81.1 	 C1 - 2.0 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
88.	 81.1 	 C1 - 2.5 mA	 C3 - 1.5 mA 	 (0.97 / 0.74) 
89.	 81.1 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (0.90 / 1.00) 
90.	 81.0 	 C0 - 5.0 mA	 C2 - 2.5 mA 	 (0.59 / 0.95) 
91.	 81.0 	 C1 - 4.5 mA	 C2 - 2.0 mA 	 (0.89 / 0.98) 
92.	 81.0 	 C1 - 5.5 mA	 C3 - 2.5 mA 	 (0.85 / 0.67) 
93.	 80.9 	 C0 - 3.0 mA	 C2 - 2.5 mA 	 (0.64 / 0.95) 
94.	 80.9 	 C1 - 4.0 mA	 C2 - 2.0 mA 	 (0.90 / 0.98) 
95.	 80.7 	 C1 - 4.5 mA	 C3 - 2.0 mA 	 (0.89 / 0.69) 
96.	 80.7 	 C1 - 5.0 mA	 C3 - 2.5 mA 	 (0.87 / 0.67) 
97.	 80.6 	 C1 - 2.5 mA	 C2 - 1.5 mA 	 (0.97 / 0.99) 
98.	 80.6 	 C1 - 4.0 mA	 C3 - 2.0 mA 	 (0.90 / 0.69) 
99.	 80.5 	 C1 - 5.5 mA	 C1 - 2.0 mA 	 (0.85 / 1.00) 
100.	 80.4 	 C1 - 5.5 mA	 C2 - 3.0 mA 	 (0.85 / 0.92) 
101.	 80.4 	 C1 - 2.5 mA	 C0 - 1.5 mA 	 (0.97 / 1.00) 
102.	 80.4 	 C0 - 4.0 mA	 C3 - 2.5 mA 	 (0.61 / 0.67) 
103.	 80.4 	 C1 - 2.0 mA	 C2 - 2.0 mA 	 (0.98 / 0.98) 
104.	 80.4 	 C0 - 2.0 mA	 C1 - 2.0 mA 	 (0.69 / 1.00) 
105.	 80.3 	 C0 - 5.5 mA	 C3 - 2.5 mA 	 (0.58 / 0.67) 
106.	 80.3 	 C1 - 5.0 mA	 C1 - 2.0 mA 	 (0.87 / 1.00) 
107.	 80.2 	 C1 - 2.0 mA	 C3 - 2.0 mA 	 (0.98 / 0.69) 
108.	 80.2 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.85 / 1.00) 
109.	 80.2 	 C0 - 4.5 mA	 C3 - 2.5 mA 	 (0.60 / 0.67) 
110.	 80.2 	 C0 - 2.0 mA	 C2 - 3.0 mA 	 (0.69 / 0.92) 
111.	 80.2 	 C1 - 5.0 mA	 C2 - 3.0 mA 	 (0.87 / 0.92) 
112.	 80.1 	 C0 - 4.0 mA	 C1 - 2.0 mA 	 (0.61 / 1.00) 
113.	 80.1 	 C0 - 5.0 mA	 C3 - 2.5 mA 	 (0.59 / 0.67) 
114.	 80.1 	 C0 - 1.5 mA	 C1 - 2.0 mA 	 (0.73 / 1.00) 
115.	 80.1 	 C0 - 4.0 mA	 C2 - 3.0 mA 	 (0.61 / 0.92) 
116.	 80.0 	 C1 - 4.5 mA	 C2 - 2.5 mA 	 (0.89 / 0.95) 
117.	 80.0 	 C0 - 5.5 mA	 C1 - 2.0 mA 	 (0.58 / 1.00) 
118.	 80.0 	 C0 - 2.0 mA	 C3 - 2.5 mA 	 (0.69 / 0.67) 
119.	 80.0 	 C0 - 4.5 mA	 C1 - 2.0 mA 	 (0.60 / 1.00) 
120.	 80.0 	 C0 - 5.5 mA	 C2 - 3.0 mA 	 (0.58 / 0.92) 
121.	 79.9 	 C0 - 2.5 mA	 C1 - 2.0 mA 	 (0.66 / 1.00) 
122.	 79.9 	 C0 - 3.5 mA	 C3 - 2.5 mA 	 (0.63 / 0.67) 
123.	 79.9 	 C1 - 2.5 mA	 C2 - 2.0 mA 	 (0.97 / 0.98) 
124.	 79.9 	 C0 - 4.5 mA	 C2 - 3.0 mA 	 (0.60 / 0.92) 
125.	 79.9 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.87 / 1.00) 
126.	 79.9 	 C0 - 3.5 mA	 C1 - 2.0 mA 	 (0.63 / 1.00) 
127.	 79.9 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (0.59 / 1.00) 
128.	 79.8 	 C1 - 4.0 mA	 C2 - 2.5 mA 	 (0.90 / 0.95) 
129.	 79.8 	 C0 - 5.0 mA	 C2 - 3.0 mA 	 (0.59 / 0.92) 
130.	 79.8 	 C0 - 3.5 mA	 C2 - 3.0 mA 	 (0.63 / 0.92) 
131.	 79.8 	 C0 - 2.5 mA	 C2 - 3.0 mA 	 (0.66 / 0.92) 
132.	 79.7 	 C0 - 1.5 mA	 C2 - 3.0 mA 	 (0.73 / 0.92) 
133.	 79.7 	 C0 - 2.0 mA	 C0 - 2.0 mA 	 (0.69 / 1.00) 
134.	 79.7 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (0.61 / 1.00) 
135.	 79.6 	 C1 - 3.5 mA	 C1 - 1.5 mA 	 (0.93 / 1.00) 
136.	 79.6 	 C0 - 2.5 mA	 C3 - 2.5 mA 	 (0.66 / 0.67) 
137.	 79.6 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (0.58 / 1.00) 
138.	 79.6 	 C0 - 3.0 mA	 C1 - 2.0 mA 	 (0.64 / 1.00) 
139.	 79.5 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.60 / 1.00) 
140.	 79.5 	 C1 - 2.5 mA	 C3 - 2.0 mA 	 (0.97 / 0.69) 
141.	 79.4 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.59 / 1.00) 
142.	 79.4 	 C1 - 5.5 mA	 C3 - 3.0 mA 	 (0.85 / 0.64) 
143.	 79.4 	 C0 - 3.0 mA	 C2 - 3.0 mA 	 (0.64 / 0.92) 
144.	 79.4 	 C1 - 3.0 mA	 C1 - 1.5 mA 	 (0.95 / 1.00) 
145.	 79.4 	 C0 - 3.5 mA	 C0 - 2.0 mA 	 (0.63 / 1.00) 
146.	 79.4 	 C1 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
147.	 79.4 	 C0 - 1.5 mA	 C3 - 2.5 mA 	 (0.73 / 0.67) 
