			Lead Left Left_VTA	Lead Right Right_VTA
-------------------------------------------
DIPS
62.	 71.9 	 C1 - 1.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
63.	 71.3 	 C2 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
64.	 71.0 	 C0 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
65.	 70.9 	 C3 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
66.	 70.8 	 C3 - 3.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
67.	 70.7 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
68.	 70.2 	 C2 - 1.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
69.	 69.9 	 C3 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
70.	 69.7 	 C0 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
71.	 69.4 	 C1 - 3.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
72.	 69.2 	 C1 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
73.	 69.1 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
74.	 69.0 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
75.	 69.0 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
76.	 68.5 	 C3 - 1.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
77.	 68.3 	 C3 - 4.0 mA	 C3 - 2.0 mA 	 (0.98 / 1.00) 
78.	 68.2 	 C0 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
79.	 68.1 	 C3 - 3.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
80.	 68.0 	 C2 - 1.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
81.	 68.0 	 C0 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
82.	 67.9 	 C2 - 1.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
83.	 67.5 	 C3 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
84.	 67.4 	 C0 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
85.	 67.4 	 C3 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
86.	 67.2 	 C0 - 1.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
87.	 66.9 	 C2 - 1.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
88.	 66.7 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
89.	 66.7 	 C2 - 2.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
90.	 66.6 	 C3 - 3.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
91.	 66.5 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
92.	 66.3 	 C3 - 1.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
93.	 66.2 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
94.	 66.2 	 C3 - 4.0 mA	 C3 - 3.0 mA 	 (0.98 / 0.97) 
95.	 66.1 	 C0 - 5.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
96.	 65.9 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
97.	 65.6 	 C0 - 3.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
98.	 65.6 	 C1 - 1.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
99.	 65.5 	 C0 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
100.	 65.4 	 C0 - 1.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
101.	 65.4 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
102.	 65.4 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
103.	 65.4 	 C3 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
104.	 65.2 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
105.	 64.9 	 C1 - 2.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
106.	 64.7 	 C3 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
107.	 64.6 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
108.	 64.3 	 C3 - 4.0 mA	 C3 - 1.0 mA 	 (0.98 / 1.00) 
109.	 64.3 	 C1 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
110.	 64.1 	 C3 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
111.	 64.0 	 C0 - 1.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
112.	 63.9 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
113.	 63.5 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
114.	 63.3 	 C1 - 5.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
115.	 63.2 	 C1 - 1.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
116.	 62.9 	 C0 - 1.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
117.	 62.9 	 C2 - 5.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
118.	 62.7 	 C3 - 5.0 mA	 C3 - 2.0 mA 	 (0.97 / 1.00) 
119.	 62.5 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
120.	 62.5 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
121.	 62.5 	 C3 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
122.	 62.4 	 C3 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
123.	 62.4 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.98 / 1.00) 
124.	 62.2 	 C3 - 3.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
125.	 62.2 	 C1 - 5.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
126.	 62.1 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
127.	 62.1 	 C0 - 3.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
128.	 62.0 	 C3 - 4.0 mA	 C3 - 4.0 mA 	 (0.98 / 0.94) 
129.	 61.8 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
130.	 61.8 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
131.	 61.7 	 C3 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
132.	 61.5 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
133.	 61.4 	 C3 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
134.	 61.4 	 C0 - 3.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
135.	 61.4 	 C3 - 5.0 mA	 C3 - 3.0 mA 	 (0.97 / 0.97) 
136.	 60.8 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
137.	 60.7 	 C2 - 5.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
138.	 60.4 	 C0 - 2.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
139.	 60.4 	 C0 - 3.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
140.	 60.4 	 C2 - 1.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
141.	 60.3 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
142.	 60.3 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
143.	 60.2 	 C2 - 3.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
144.	 60.1 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
145.	 60.0 	 C1 - 5.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
146.	 59.9 	 C3 - 1.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
147.	 59.7 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
148.	 59.7 	 C0 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
149.	 59.6 	 C2 - 1.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
150.	 59.5 	 C1 - 1.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
