			Lead Left DEFAULT	Lead Right DEFAULT
-------------------------------------------
DIPS
62.	 87.0 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
63.	 87.0 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
64.	 86.8 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
65.	 86.8 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
66.	 86.7 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
67.	 86.2 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
68.	 86.0 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
69.	 85.8 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
70.	 85.6 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
71.	 85.6 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.85 / 0.99) 
72.	 85.5 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (0.88 / 1.00) 
73.	 85.4 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
74.	 85.3 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
75.	 85.1 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
76.	 84.7 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
77.	 84.7 	 C3 - 2.5 mA	 C0 - 5.0 mA 	 (0.85 / 1.00) 
78.	 84.6 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
79.	 84.6 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
80.	 84.5 	 C2 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
