			Lead Left	Lead Right
-------------------------------------------
DIPS
62.	 99.4 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.50 / 0.00) 
63.	 99.2 	 C1 - 4.0 mA	 C2 - 4.5 mA 	 (0.52 / 0.39) 
64.	 99.1 	 C1 - 5.0 mA	 C3 - 5.0 mA 	 (0.51 / 0.61) 
65.	 99.0 	 C2 - 3.5 mA	 C0 - 1.5 mA 	 (0.88 / 0.00) 
66.	 99.0 	 C2 - 5.5 mA	 C2 - 5.5 mA 	 (0.79 / 0.39) 
67.	 99.0 	 C2 - 3.5 mA	 C0 - 2.0 mA 	 (0.88 / 0.00) 
68.	 98.9 	 C2 - 5.0 mA	 C2 - 5.5 mA 	 (0.81 / 0.39) 
69.	 98.9 	 C1 - 4.0 mA	 C3 - 1.5 mA 	 (0.52 / 0.72) 
70.	 98.9 	 C2 - 4.0 mA	 C3 - 1.5 mA 	 (0.86 / 0.72) 
71.	 98.9 	 C2 - 5.0 mA	 C1 - 5.5 mA 	 (0.81 / 0.18) 
72.	 98.9 	 C2 - 5.5 mA	 C1 - 5.5 mA 	 (0.79 / 0.18) 
73.	 98.9 	 C1 - 5.5 mA	 C1 - 4.5 mA 	 (0.50 / 0.15) 
74.	 98.8 	 C1 - 5.0 mA	 C2 - 3.0 mA 	 (0.51 / 0.39) 
75.	 98.8 	 C1 - 5.0 mA	 C3 - 4.0 mA 	 (0.51 / 0.64) 
76.	 98.8 	 C1 - 4.5 mA	 C1 - 5.5 mA 	 (0.51 / 0.18) 
77.	 98.8 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (0.50 / 0.00) 
78.	 98.8 	 C2 - 2.0 mA	 C0 - 1.5 mA 	 (0.96 / 0.00) 
79.	 98.7 	 C1 - 4.0 mA	 C3 - 2.0 mA 	 (0.52 / 0.69) 
80.	 98.7 	 C2 - 4.0 mA	 C0 - 2.5 mA 	 (0.86 / 0.00) 
81.	 98.7 	 C2 - 2.0 mA	 C0 - 2.0 mA 	 (0.96 / 0.00) 
82.	 98.7 	 C1 - 4.5 mA	 C3 - 3.0 mA 	 (0.51 / 0.66) 
83.	 98.6 	 C2 - 3.0 mA	 C0 - 2.5 mA 	 (0.91 / 0.00) 
84.	 98.6 	 C2 - 4.5 mA	 C0 - 3.0 mA 	 (0.84 / 0.00) 
85.	 98.4 	 C2 - 4.5 mA	 C2 - 5.5 mA 	 (0.84 / 0.39) 
86.	 98.4 	 C1 - 5.0 mA	 C3 - 4.5 mA 	 (0.51 / 0.63) 
87.	 98.3 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (0.51 / 0.00) 
88.	 98.3 	 C1 - 5.5 mA	 C2 - 2.5 mA 	 (0.50 / 0.38) 
89.	 98.3 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.51 / 0.00) 
90.	 98.3 	 C2 - 5.5 mA	 C2 - 5.0 mA 	 (0.79 / 0.39) 
91.	 98.3 	 C2 - 4.5 mA	 C1 - 5.5 mA 	 (0.84 / 0.18) 
92.	 98.3 	 C2 - 3.0 mA	 C3 - 1.5 mA 	 (0.91 / 0.72) 
93.	 98.2 	 C2 - 3.5 mA	 C3 - 1.5 mA 	 (0.88 / 0.72) 
94.	 98.2 	 C2 - 5.0 mA	 C2 - 5.0 mA 	 (0.81 / 0.39) 
95.	 98.2 	 C2 - 5.0 mA	 C3 - 2.0 mA 	 (0.81 / 0.69) 
96.	 98.2 	 C2 - 5.5 mA	 C3 - 2.0 mA 	 (0.79 / 0.69) 
97.	 98.1 	 C2 - 3.5 mA	 C0 - 2.5 mA 	 (0.88 / 0.00) 
98.	 98.1 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (0.50 / 0.00) 
99.	 98.0 	 C1 - 4.5 mA	 C2 - 3.5 mA 	 (0.51 / 0.39) 
100.	 98.0 	 C2 - 2.5 mA	 C0 - 3.0 mA 	 (0.93 / 0.00) 
