			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
63.	 70.6 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (0.73 / 0.66) 
64.	 70.5 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (0.62 / 0.74) 
65.	 70.5 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (0.01 / 0.64) 
66.	 70.5 	 C3 - 3.0 mA	 C0 - 3.5 mA 	 (0.05 / 0.68) 
67.	 70.5 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (0.78 / 0.64) 
68.	 70.5 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (0.68 / 0.70) 
69.	 70.4 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (0.59 / 0.74) 
70.	 70.4 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.57 / 0.74) 
71.	 70.4 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (0.57 / 0.78) 
72.	 70.3 	 C3 - 2.5 mA	 C1 - 4.0 mA 	 (0.03 / 0.84) 
73.	 70.3 	 C1 - 1.5 mA	 C1 - 3.0 mA 	 (0.78 / 0.89) 
74.	 70.3 	 C3 - 2.5 mA	 C1 - 3.5 mA 	 (0.03 / 0.86) 
75.	 70.3 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.57 / 0.71) 
76.	 70.3 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.78 / 0.63) 
77.	 70.3 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (0.73 / 0.65) 
78.	 70.2 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (0.01 / 0.63) 
79.	 70.2 	 C0 - 3.5 mA	 C0 - 1.5 mA 	 (0.61 / 0.78) 
80.	 70.2 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.59 / 0.74) 
81.	 70.2 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (0.03 / 0.66) 
82.	 70.1 	 C0 - 1.5 mA	 C0 - 2.0 mA 	 (0.66 / 0.74) 
83.	 70.1 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (0.61 / 0.71) 
84.	 70.1 	 C1 - 1.5 mA	 C1 - 4.5 mA 	 (0.78 / 0.83) 
85.	 70.0 	 C0 - 3.0 mA	 C0 - 1.5 mA 	 (0.62 / 0.78) 
86.	 70.0 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (0.57 / 0.78) 
87.	 70.0 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (0.63 / 0.74) 
88.	 70.0 	 C3 - 1.5 mA	 C2 - 1.5 mA 	 (0.00 / 1.00) 
89.	 70.0 	 C0 - 4.0 mA	 C0 - 1.5 mA 	 (0.59 / 0.78) 
90.	 69.9 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.57 / 0.71) 
91.	 69.9 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (0.70 / 0.68) 
92.	 69.9 	 C0 - 4.0 mA	 C0 - 2.5 mA 	 (0.59 / 0.71) 
93.	 69.9 	 C0 - 3.0 mA	 C0 - 2.5 mA 	 (0.62 / 0.71) 
94.	 69.8 	 C0 - 2.5 mA	 C0 - 2.0 mA 	 (0.62 / 0.74) 
95.	 69.8 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (0.73 / 0.84) 
96.	 69.7 	 C1 - 2.0 mA	 C1 - 3.5 mA 	 (0.73 / 0.86) 
97.	 69.7 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (0.03 / 0.65) 
98.	 69.7 	 C0 - 4.5 mA	 C0 - 1.5 mA 	 (0.59 / 0.78) 
99.	 69.7 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (0.59 / 0.71) 
100.	 69.6 	 C3 - 1.5 mA	 C1 - 5.0 mA 	 (0.00 / 0.81) 
101.	 69.6 	 C3 - 3.5 mA	 C0 - 3.0 mA 	 (0.06 / 0.70) 
102.	 69.6 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (0.73 / 0.64) 
103.	 69.5 	 C1 - 3.5 mA	 C0 - 3.0 mA 	 (0.65 / 0.70) 
104.	 69.5 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (0.63 / 0.71) 
105.	 69.4 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (0.63 / 0.78) 
106.	 69.4 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (0.73 / 0.63) 
107.	 69.4 	 C0 - 1.5 mA	 C0 - 1.5 mA 	 (0.66 / 0.78) 
108.	 69.3 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (0.57 / 0.70) 
109.	 69.2 	 C0 - 1.5 mA	 C0 - 2.5 mA 	 (0.66 / 0.71) 
